City,State,Age Group,Gender,Coffee Type,Daily Cups Consumed,Preferred Coffee Brand,Consumption Setting,Monthly Coffee Expense (INR),Reason for Consumption,Milk Preference,Sugar Preference,Awareness of Specialty Coffee,Frequency of Café Visits (Per Week),Preferred Time of Consumption,Influence of Social Media on Choice
Delhi,Delhi,18-25,Female,Instant,5,Others,Home,3088,Habit,No,Less Sugar,Yes,6,Night,Yes
Ahmedabad,Gujarat,50+,Male,Instant,2,Nestlé,Office,2635,Socializing,No,High Sugar,No,0,Night,Yes
Delhi,Delhi,18-25,Female,Espresso,4,Nestlé,Home,2261,Taste,Yes,High Sugar,Yes,1,Night,Yes
Hyderabad,Telangana,50+,Male,Instant,2,Local Brand,Office,3024,Energy,Yes,No Sugar,Yes,1,Afternoon,Yes
Pune,Maharashtra,50+,Female,Brewed,5,Local Brand,Home,1563,Taste,No,No Sugar,No,3,Evening,No
Hyderabad,Telangana,50+,Other,Cold Coffee,4,Local Brand,Home,1678,Taste,No,Less Sugar,Yes,3,Morning,No
Mumbai,Maharashtra,18-25,Other,Filter Coffee,5,Others,Office,975,Taste,Yes,No Sugar,Yes,6,Morning,Yes
Chennai,Tamil Nadu,50+,Male,Cold Coffee,3,Bru,Office,3352,Energy,Yes,High Sugar,No,3,Evening,Yes
Kolkata,West Bengal,26-35,Female,Filter Coffee,2,Bru,Office,4143,Habit,No,Medium Sugar,Yes,3,Morning,No
Lucknow,Uttar Pradesh,18-25,Male,Cold Coffee,2,Bru,Office,1221,Habit,Yes,Medium Sugar,Yes,5,Afternoon,No
Hyderabad,Telangana,26-35,Female,Cold Coffee,2,Starbucks,Office,4043,Energy,No,No Sugar,Yes,5,Evening,Yes
Delhi,Delhi,26-35,Female,Espresso,5,Others,Home,4998,Habit,Yes,Medium Sugar,No,1,Evening,Yes
Delhi,Delhi,50+,Female,Instant,2,Nestlé,Café,361,Taste,No,Less Sugar,No,1,Night,Yes
Delhi,Delhi,18-25,Other,Brewed,4,Others,Home,3542,Habit,Yes,High Sugar,Yes,5,Morning,No
Kolkata,West Bengal,18-25,Female,Brewed,4,Bru,Office,1216,Energy,No,High Sugar,Yes,5,Afternoon,Yes
Bangalore,Karnataka,50+,Male,Brewed,5,Starbucks,Café,537,Taste,No,Less Sugar,Yes,6,Night,Yes
Ahmedabad,Gujarat,26-35,Male,Filter Coffee,5,Starbucks,Café,4193,Taste,Yes,No Sugar,Yes,0,Night,No
Hyderabad,Telangana,18-25,Female,Espresso,4,Others,Café,579,Habit,Yes,No Sugar,No,4,Afternoon,No
Mumbai,Maharashtra,18-25,Other,Filter Coffee,1,Starbucks,Office,2262,Habit,No,No Sugar,No,4,Afternoon,No
Mumbai,Maharashtra,50+,Male,Cold Coffee,1,Others,Office,2768,Taste,No,High Sugar,Yes,0,Evening,No
Delhi,Delhi,36-50,Other,Espresso,4,Local Brand,Café,2895,Socializing,No,Less Sugar,Yes,6,Night,No
Bangalore,Karnataka,36-50,Female,Cold Coffee,3,Nestlé,Café,591,Habit,Yes,High Sugar,No,2,Night,No
Ahmedabad,Gujarat,26-35,Other,Filter Coffee,3,Bru,Office,4674,Energy,No,Medium Sugar,Yes,4,Afternoon,No
Chennai,Tamil Nadu,26-35,Male,Instant,2,Nestlé,Home,2478,Socializing,Yes,High Sugar,No,1,Afternoon,No
Ahmedabad,Gujarat,50+,Male,Brewed,1,Nestlé,Home,3299,Socializing,Yes,Less Sugar,No,6,Morning,Yes
Delhi,Delhi,50+,Male,Filter Coffee,1,Others,Office,3304,Habit,No,High Sugar,No,6,Afternoon,No
Ahmedabad,Gujarat,36-50,Male,Espresso,5,Others,Café,2931,Taste,No,High Sugar,Yes,5,Evening,Yes
Hyderabad,Telangana,36-50,Female,Cold Coffee,3,Nestlé,Home,1770,Taste,Yes,High Sugar,Yes,0,Afternoon,Yes
Pune,Maharashtra,50+,Female,Cold Coffee,3,Local Brand,Café,2890,Energy,Yes,High Sugar,No,0,Morning,No
Ahmedabad,Gujarat,18-25,Female,Espresso,5,Local Brand,Café,702,Taste,No,Less Sugar,No,6,Night,No
Mumbai,Maharashtra,50+,Female,Filter Coffee,3,Bru,Café,4688,Taste,Yes,High Sugar,Yes,6,Morning,No
Bangalore,Karnataka,50+,Male,Instant,2,Starbucks,Café,1684,Habit,Yes,High Sugar,No,2,Evening,No
Hyderabad,Telangana,50+,Female,Instant,1,Local Brand,Home,763,Energy,No,Less Sugar,Yes,4,Morning,Yes
Chennai,Tamil Nadu,26-35,Male,Cold Coffee,4,Bru,Home,1957,Taste,No,No Sugar,Yes,4,Night,No
Kolkata,West Bengal,26-35,Other,Cold Coffee,5,Nestlé,Home,1878,Habit,Yes,No Sugar,No,2,Night,No
Chennai,Tamil Nadu,18-25,Other,Brewed,5,Nestlé,Office,1259,Habit,Yes,No Sugar,No,4,Night,No
Delhi,Delhi,36-50,Male,Filter Coffee,3,Local Brand,Home,3514,Socializing,No,High Sugar,Yes,5,Night,Yes
Jaipur,Rajasthan,36-50,Other,Cold Coffee,4,Local Brand,Café,2825,Socializing,No,Medium Sugar,Yes,1,Morning,No
Ahmedabad,Gujarat,26-35,Female,Cold Coffee,5,Others,Office,1797,Socializing,No,No Sugar,No,0,Evening,Yes
Ahmedabad,Gujarat,26-35,Female,Espresso,5,Starbucks,Café,2893,Habit,Yes,Less Sugar,Yes,3,Afternoon,No
Ahmedabad,Gujarat,26-35,Other,Filter Coffee,4,Local Brand,Café,3827,Energy,Yes,Medium Sugar,Yes,3,Night,Yes
Hyderabad,Telangana,36-50,Female,Cold Coffee,3,Others,Café,1863,Socializing,No,Medium Sugar,No,1,Evening,No
Hyderabad,Telangana,26-35,Male,Brewed,4,Starbucks,Home,3502,Taste,Yes,Less Sugar,No,5,Evening,No
Delhi,Delhi,26-35,Female,Brewed,1,Starbucks,Home,1506,Habit,Yes,Less Sugar,No,5,Morning,Yes
Jaipur,Rajasthan,36-50,Other,Brewed,1,Local Brand,Home,2875,Energy,No,High Sugar,No,4,Night,No
Bangalore,Karnataka,18-25,Female,Filter Coffee,1,Nestlé,Home,1482,Socializing,No,No Sugar,Yes,6,Afternoon,Yes
Lucknow,Uttar Pradesh,36-50,Male,Brewed,3,Nestlé,Office,4944,Socializing,Yes,High Sugar,No,5,Night,No
Lucknow,Uttar Pradesh,50+,Female,Cold Coffee,5,Others,Home,4979,Energy,Yes,Less Sugar,No,6,Morning,Yes
Chennai,Tamil Nadu,26-35,Other,Instant,3,Bru,Home,3645,Socializing,No,High Sugar,No,0,Morning,Yes
Hyderabad,Telangana,36-50,Other,Filter Coffee,4,Nestlé,Office,2053,Taste,No,Less Sugar,No,0,Morning,Yes
Bangalore,Karnataka,36-50,Male,Instant,2,Nestlé,Home,4859,Habit,No,High Sugar,Yes,3,Night,No
Pune,Maharashtra,36-50,Other,Cold Coffee,2,Local Brand,Café,1836,Energy,Yes,High Sugar,No,0,Evening,Yes
Delhi,Delhi,26-35,Other,Cold Coffee,1,Others,Home,898,Habit,Yes,Less Sugar,No,0,Night,No
Bangalore,Karnataka,50+,Other,Filter Coffee,2,Nestlé,Café,4937,Habit,No,Medium Sugar,No,3,Morning,Yes
Kolkata,West Bengal,50+,Other,Filter Coffee,5,Starbucks,Office,3674,Socializing,Yes,High Sugar,Yes,5,Evening,No
Kolkata,West Bengal,18-25,Female,Cold Coffee,2,Nestlé,Office,1907,Socializing,No,No Sugar,Yes,1,Evening,No
Ahmedabad,Gujarat,18-25,Male,Espresso,4,Others,Home,3710,Habit,No,High Sugar,Yes,2,Morning,Yes
Bangalore,Karnataka,36-50,Other,Instant,3,Others,Café,4696,Energy,Yes,No Sugar,No,6,Morning,Yes
Ahmedabad,Gujarat,36-50,Other,Espresso,5,Local Brand,Café,3131,Socializing,Yes,High Sugar,Yes,1,Night,Yes
Lucknow,Uttar Pradesh,26-35,Male,Espresso,3,Local Brand,Café,3782,Habit,Yes,Medium Sugar,No,0,Night,Yes
Ahmedabad,Gujarat,50+,Female,Espresso,1,Others,Office,1347,Socializing,No,Medium Sugar,Yes,2,Afternoon,No
Chennai,Tamil Nadu,50+,Male,Espresso,5,Local Brand,Office,1994,Socializing,No,Less Sugar,No,3,Morning,Yes
Jaipur,Rajasthan,36-50,Male,Filter Coffee,4,Nestlé,Office,1569,Socializing,Yes,Less Sugar,No,2,Afternoon,Yes
Ahmedabad,Gujarat,36-50,Female,Cold Coffee,3,Local Brand,Office,3419,Energy,No,High Sugar,No,6,Night,Yes
Lucknow,Uttar Pradesh,18-25,Male,Espresso,4,Bru,Office,688,Energy,No,No Sugar,Yes,0,Night,Yes
Hyderabad,Telangana,18-25,Male,Espresso,2,Nestlé,Café,3119,Habit,No,High Sugar,Yes,0,Afternoon,No
Lucknow,Uttar Pradesh,26-35,Male,Brewed,3,Nestlé,Office,4261,Socializing,Yes,High Sugar,Yes,1,Afternoon,No
Hyderabad,Telangana,50+,Female,Instant,3,Local Brand,Café,462,Taste,Yes,High Sugar,No,3,Evening,No
Hyderabad,Telangana,50+,Female,Brewed,2,Local Brand,Café,823,Energy,Yes,High Sugar,No,0,Evening,No
Mumbai,Maharashtra,50+,Female,Instant,4,Others,Office,3843,Energy,No,Medium Sugar,Yes,0,Evening,Yes
Chennai,Tamil Nadu,36-50,Other,Brewed,2,Nestlé,Office,3923,Energy,No,High Sugar,Yes,4,Evening,Yes
Delhi,Delhi,36-50,Female,Filter Coffee,5,Bru,Home,4290,Taste,No,Medium Sugar,Yes,6,Evening,No
Hyderabad,Telangana,36-50,Male,Filter Coffee,1,Nestlé,Home,3370,Taste,No,Medium Sugar,Yes,2,Night,Yes
Hyderabad,Telangana,18-25,Female,Espresso,3,Starbucks,Office,4699,Socializing,No,No Sugar,Yes,5,Night,Yes
Lucknow,Uttar Pradesh,36-50,Other,Brewed,1,Nestlé,Office,4191,Socializing,No,High Sugar,Yes,3,Afternoon,Yes
Mumbai,Maharashtra,36-50,Female,Instant,3,Nestlé,Home,1848,Taste,No,High Sugar,No,3,Night,Yes
Pune,Maharashtra,18-25,Female,Cold Coffee,4,Local Brand,Café,453,Energy,No,Less Sugar,No,2,Night,Yes
Kolkata,West Bengal,18-25,Other,Espresso,1,Others,Office,298,Habit,Yes,High Sugar,No,0,Afternoon,Yes
Ahmedabad,Gujarat,18-25,Other,Brewed,5,Others,Home,3161,Energy,No,Less Sugar,Yes,5,Afternoon,Yes
Jaipur,Rajasthan,26-35,Other,Brewed,2,Bru,Café,3977,Taste,Yes,Medium Sugar,Yes,5,Afternoon,No
Bangalore,Karnataka,18-25,Other,Instant,3,Bru,Home,3991,Habit,Yes,Medium Sugar,Yes,4,Afternoon,No
Mumbai,Maharashtra,26-35,Other,Filter Coffee,1,Others,Home,4267,Energy,No,High Sugar,No,0,Morning,No
Jaipur,Rajasthan,26-35,Other,Instant,4,Others,Café,4693,Socializing,Yes,No Sugar,No,4,Night,No
Delhi,Delhi,50+,Other,Filter Coffee,4,Nestlé,Home,1727,Habit,Yes,No Sugar,Yes,6,Evening,No
Pune,Maharashtra,36-50,Female,Cold Coffee,3,Others,Café,4696,Energy,Yes,Less Sugar,No,0,Night,Yes
Pune,Maharashtra,36-50,Female,Filter Coffee,4,Local Brand,Office,1154,Energy,No,High Sugar,No,2,Evening,No
Bangalore,Karnataka,50+,Male,Instant,5,Nestlé,Home,762,Socializing,Yes,Medium Sugar,Yes,5,Morning,No
Delhi,Delhi,50+,Female,Filter Coffee,3,Nestlé,Café,425,Habit,No,No Sugar,Yes,4,Afternoon,No
Chennai,Tamil Nadu,18-25,Female,Cold Coffee,1,Starbucks,Home,1159,Habit,Yes,High Sugar,Yes,0,Evening,Yes
Bangalore,Karnataka,36-50,Other,Espresso,5,Starbucks,Café,3267,Energy,Yes,Less Sugar,No,4,Morning,Yes
Mumbai,Maharashtra,18-25,Other,Cold Coffee,3,Bru,Café,4842,Socializing,No,Medium Sugar,Yes,0,Evening,No
Kolkata,West Bengal,18-25,Male,Brewed,1,Bru,Office,1443,Energy,Yes,Medium Sugar,No,5,Night,No
Lucknow,Uttar Pradesh,50+,Female,Espresso,5,Bru,Office,1269,Energy,No,High Sugar,Yes,4,Evening,No
Jaipur,Rajasthan,36-50,Male,Brewed,3,Local Brand,Office,1260,Energy,Yes,Less Sugar,No,4,Afternoon,Yes
Hyderabad,Telangana,36-50,Female,Instant,1,Nestlé,Café,501,Socializing,Yes,Less Sugar,No,4,Afternoon,No
Delhi,Delhi,50+,Other,Instant,3,Local Brand,Home,899,Socializing,Yes,Medium Sugar,No,0,Night,No
Hyderabad,Telangana,18-25,Female,Instant,4,Starbucks,Home,390,Socializing,No,No Sugar,No,4,Morning,Yes
Pune,Maharashtra,50+,Other,Instant,5,Local Brand,Café,3175,Habit,Yes,Medium Sugar,Yes,6,Morning,Yes
Jaipur,Rajasthan,26-35,Female,Espresso,1,Bru,Home,3527,Energy,Yes,Medium Sugar,Yes,2,Afternoon,Yes
Delhi,Delhi,26-35,Other,Filter Coffee,2,Local Brand,Office,2016,Socializing,No,Medium Sugar,Yes,1,Night,Yes
Ahmedabad,Gujarat,50+,Other,Espresso,2,Starbucks,Office,2095,Energy,No,No Sugar,No,5,Night,No
Mumbai,Maharashtra,18-25,Female,Espresso,2,Nestlé,Office,4214,Energy,No,High Sugar,Yes,5,Night,Yes
Kolkata,West Bengal,50+,Other,Brewed,2,Nestlé,Café,354,Energy,No,No Sugar,Yes,1,Morning,Yes
Ahmedabad,Gujarat,50+,Other,Cold Coffee,2,Others,Home,4257,Habit,No,Medium Sugar,No,0,Night,No
Lucknow,Uttar Pradesh,18-25,Other,Espresso,1,Nestlé,Café,4541,Energy,No,Medium Sugar,No,6,Afternoon,No
Delhi,Delhi,26-35,Female,Espresso,5,Local Brand,Home,3006,Energy,No,High Sugar,No,1,Afternoon,Yes
Pune,Maharashtra,36-50,Male,Espresso,3,Starbucks,Home,2041,Taste,No,High Sugar,Yes,0,Afternoon,Yes
Bangalore,Karnataka,18-25,Female,Instant,5,Others,Office,3150,Energy,No,Less Sugar,No,0,Afternoon,Yes
Bangalore,Karnataka,26-35,Other,Filter Coffee,4,Nestlé,Café,4980,Habit,Yes,High Sugar,No,3,Night,Yes
Jaipur,Rajasthan,26-35,Female,Filter Coffee,1,Bru,Café,4047,Socializing,No,Medium Sugar,No,5,Night,Yes
Chennai,Tamil Nadu,26-35,Female,Instant,4,Local Brand,Café,1366,Energy,Yes,Medium Sugar,Yes,3,Afternoon,No
Ahmedabad,Gujarat,26-35,Female,Instant,2,Bru,Café,2974,Habit,Yes,High Sugar,Yes,6,Night,No
Chennai,Tamil Nadu,50+,Male,Espresso,3,Bru,Home,3936,Habit,Yes,Medium Sugar,Yes,1,Afternoon,Yes
Hyderabad,Telangana,50+,Other,Brewed,5,Local Brand,Café,1915,Energy,Yes,No Sugar,No,1,Afternoon,Yes
Jaipur,Rajasthan,50+,Male,Espresso,3,Bru,Café,2691,Energy,Yes,Less Sugar,No,4,Night,Yes
Delhi,Delhi,50+,Other,Cold Coffee,1,Nestlé,Office,3324,Taste,Yes,Medium Sugar,No,3,Morning,No
Chennai,Tamil Nadu,50+,Male,Instant,4,Others,Café,204,Energy,Yes,High Sugar,No,6,Morning,No
Kolkata,West Bengal,36-50,Other,Instant,4,Starbucks,Home,1076,Habit,Yes,No Sugar,No,3,Afternoon,Yes
Kolkata,West Bengal,36-50,Other,Brewed,3,Local Brand,Office,4564,Socializing,Yes,Less Sugar,Yes,1,Night,Yes
Hyderabad,Telangana,26-35,Male,Brewed,4,Nestlé,Café,1893,Habit,No,High Sugar,No,2,Morning,Yes
Hyderabad,Telangana,36-50,Male,Espresso,1,Starbucks,Home,319,Habit,No,High Sugar,No,6,Night,No
Bangalore,Karnataka,50+,Other,Filter Coffee,3,Starbucks,Office,3875,Habit,Yes,High Sugar,Yes,1,Night,Yes
Jaipur,Rajasthan,36-50,Female,Instant,2,Nestlé,Café,940,Habit,No,High Sugar,No,1,Afternoon,No
Kolkata,West Bengal,50+,Male,Espresso,5,Others,Café,3038,Habit,Yes,No Sugar,No,6,Evening,Yes
Mumbai,Maharashtra,26-35,Other,Filter Coffee,1,Nestlé,Home,2131,Energy,Yes,Medium Sugar,No,4,Night,Yes
Lucknow,Uttar Pradesh,26-35,Other,Filter Coffee,1,Starbucks,Café,1281,Socializing,Yes,Less Sugar,No,1,Night,No
Hyderabad,Telangana,26-35,Male,Instant,1,Bru,Café,3049,Socializing,Yes,Medium Sugar,No,5,Night,Yes
Lucknow,Uttar Pradesh,36-50,Other,Filter Coffee,1,Bru,Home,4783,Taste,Yes,High Sugar,Yes,4,Night,Yes
Kolkata,West Bengal,36-50,Other,Instant,5,Others,Office,3543,Habit,No,Less Sugar,Yes,4,Evening,Yes
Delhi,Delhi,26-35,Male,Brewed,5,Local Brand,Home,2494,Habit,No,High Sugar,Yes,2,Morning,Yes
Hyderabad,Telangana,50+,Other,Filter Coffee,4,Others,Café,4449,Socializing,Yes,Less Sugar,No,2,Morning,No
Ahmedabad,Gujarat,36-50,Male,Cold Coffee,5,Others,Home,2944,Taste,No,No Sugar,Yes,4,Afternoon,No
Bangalore,Karnataka,26-35,Female,Brewed,4,Starbucks,Office,3318,Habit,Yes,Medium Sugar,Yes,0,Evening,Yes
Hyderabad,Telangana,18-25,Other,Brewed,4,Others,Office,4748,Taste,Yes,Medium Sugar,Yes,3,Morning,Yes
Mumbai,Maharashtra,36-50,Other,Brewed,2,Others,Café,2679,Energy,No,Medium Sugar,No,4,Night,Yes
Pune,Maharashtra,36-50,Female,Instant,4,Nestlé,Home,1957,Socializing,No,High Sugar,No,4,Afternoon,No
Lucknow,Uttar Pradesh,26-35,Female,Espresso,2,Starbucks,Café,3049,Taste,No,No Sugar,No,3,Afternoon,No
Delhi,Delhi,36-50,Female,Brewed,2,Bru,Home,3930,Energy,No,High Sugar,No,1,Afternoon,Yes
Kolkata,West Bengal,36-50,Male,Brewed,1,Local Brand,Office,1215,Socializing,No,Medium Sugar,No,4,Morning,Yes
Pune,Maharashtra,50+,Male,Brewed,5,Others,Café,4811,Energy,Yes,Medium Sugar,No,6,Night,No
Jaipur,Rajasthan,18-25,Male,Filter Coffee,2,Bru,Café,4792,Habit,No,Medium Sugar,Yes,3,Night,Yes
Lucknow,Uttar Pradesh,26-35,Female,Cold Coffee,3,Starbucks,Home,1051,Socializing,No,Medium Sugar,Yes,3,Afternoon,Yes
Pune,Maharashtra,36-50,Female,Cold Coffee,2,Starbucks,Home,3946,Taste,No,No Sugar,Yes,3,Morning,Yes
Kolkata,West Bengal,50+,Other,Filter Coffee,1,Bru,Office,4200,Taste,No,Medium Sugar,Yes,4,Night,No
Lucknow,Uttar Pradesh,36-50,Other,Cold Coffee,3,Others,Café,3698,Habit,No,No Sugar,No,4,Evening,Yes
Pune,Maharashtra,36-50,Other,Instant,4,Others,Café,4113,Habit,Yes,No Sugar,No,2,Afternoon,No
Bangalore,Karnataka,26-35,Male,Cold Coffee,4,Nestlé,Home,4580,Energy,No,Medium Sugar,No,4,Afternoon,No
Chennai,Tamil Nadu,50+,Other,Cold Coffee,4,Local Brand,Office,3573,Energy,Yes,Less Sugar,No,1,Night,No
Kolkata,West Bengal,26-35,Female,Cold Coffee,5,Starbucks,Office,2746,Habit,No,High Sugar,Yes,1,Afternoon,No
Jaipur,Rajasthan,36-50,Male,Espresso,3,Starbucks,Office,2974,Taste,No,Medium Sugar,No,0,Evening,No
Hyderabad,Telangana,18-25,Other,Cold Coffee,2,Local Brand,Café,975,Habit,Yes,Medium Sugar,Yes,4,Evening,Yes
Kolkata,West Bengal,50+,Other,Espresso,2,Local Brand,Home,1825,Taste,No,Medium Sugar,Yes,5,Morning,Yes
Chennai,Tamil Nadu,18-25,Other,Cold Coffee,2,Bru,Office,314,Taste,Yes,No Sugar,No,0,Evening,No
Delhi,Delhi,26-35,Male,Cold Coffee,4,Bru,Café,1025,Socializing,No,Less Sugar,No,4,Evening,No
Mumbai,Maharashtra,18-25,Other,Cold Coffee,2,Bru,Office,1716,Energy,Yes,High Sugar,Yes,2,Morning,No
Ahmedabad,Gujarat,26-35,Other,Espresso,5,Nestlé,Home,928,Habit,Yes,Medium Sugar,No,4,Night,No
Bangalore,Karnataka,50+,Female,Brewed,5,Nestlé,Café,3008,Taste,No,Medium Sugar,Yes,3,Morning,No
Hyderabad,Telangana,26-35,Male,Cold Coffee,2,Local Brand,Café,2704,Habit,Yes,High Sugar,Yes,2,Afternoon,Yes
Ahmedabad,Gujarat,36-50,Male,Instant,1,Starbucks,Café,1322,Taste,No,Medium Sugar,No,3,Evening,Yes
Hyderabad,Telangana,36-50,Other,Brewed,2,Nestlé,Office,2343,Energy,No,Medium Sugar,Yes,6,Night,No
Delhi,Delhi,36-50,Female,Cold Coffee,5,Bru,Home,4051,Taste,No,Less Sugar,No,0,Evening,No
Jaipur,Rajasthan,50+,Other,Brewed,5,Bru,Office,2526,Energy,No,Medium Sugar,Yes,0,Morning,Yes
Jaipur,Rajasthan,26-35,Other,Cold Coffee,3,Bru,Home,4152,Habit,No,No Sugar,Yes,5,Night,Yes
Jaipur,Rajasthan,50+,Male,Filter Coffee,4,Bru,Office,928,Socializing,No,No Sugar,No,5,Evening,Yes
Pune,Maharashtra,36-50,Male,Brewed,5,Others,Home,898,Energy,No,Medium Sugar,Yes,2,Morning,Yes
Ahmedabad,Gujarat,18-25,Female,Filter Coffee,1,Bru,Home,595,Socializing,No,High Sugar,No,4,Night,No
Delhi,Delhi,26-35,Other,Espresso,1,Nestlé,Home,4371,Socializing,Yes,Less Sugar,Yes,0,Morning,No
Ahmedabad,Gujarat,50+,Other,Filter Coffee,4,Bru,Home,917,Socializing,No,Less Sugar,No,6,Afternoon,Yes
Mumbai,Maharashtra,50+,Other,Instant,4,Bru,Home,3777,Energy,Yes,No Sugar,No,6,Morning,Yes
Mumbai,Maharashtra,50+,Female,Brewed,5,Others,Home,3340,Energy,Yes,Medium Sugar,Yes,2,Evening,No
Chennai,Tamil Nadu,36-50,Male,Cold Coffee,4,Bru,Café,3138,Habit,No,No Sugar,Yes,4,Night,No
Mumbai,Maharashtra,36-50,Other,Filter Coffee,4,Others,Café,3836,Socializing,No,Less Sugar,No,6,Night,Yes
Jaipur,Rajasthan,50+,Male,Brewed,1,Starbucks,Office,1262,Taste,No,No Sugar,No,4,Night,Yes
Pune,Maharashtra,26-35,Female,Brewed,5,Starbucks,Office,3182,Energy,No,Medium Sugar,Yes,5,Afternoon,Yes
Hyderabad,Telangana,50+,Other,Cold Coffee,2,Others,Home,1356,Energy,Yes,Less Sugar,No,2,Afternoon,No
Hyderabad,Telangana,18-25,Male,Brewed,5,Nestlé,Office,4530,Socializing,Yes,Less Sugar,No,2,Afternoon,No
Hyderabad,Telangana,50+,Female,Cold Coffee,2,Starbucks,Café,1153,Habit,No,High Sugar,No,3,Morning,No
Kolkata,West Bengal,26-35,Female,Espresso,1,Local Brand,Home,3524,Taste,Yes,No Sugar,No,5,Night,No
Bangalore,Karnataka,26-35,Female,Brewed,5,Local Brand,Office,1391,Taste,No,Medium Sugar,No,1,Night,No
Ahmedabad,Gujarat,26-35,Other,Espresso,1,Bru,Home,3193,Socializing,Yes,No Sugar,Yes,2,Morning,Yes
Mumbai,Maharashtra,50+,Male,Brewed,2,Nestlé,Office,1417,Taste,Yes,Less Sugar,No,4,Evening,Yes
Lucknow,Uttar Pradesh,50+,Other,Filter Coffee,5,Nestlé,Home,3436,Socializing,Yes,No Sugar,No,5,Evening,Yes
Jaipur,Rajasthan,50+,Male,Instant,3,Nestlé,Office,3919,Taste,Yes,Less Sugar,No,4,Evening,No
Pune,Maharashtra,18-25,Female,Filter Coffee,1,Local Brand,Office,1565,Taste,Yes,Medium Sugar,Yes,3,Morning,Yes
Pune,Maharashtra,50+,Female,Cold Coffee,1,Local Brand,Home,710,Energy,Yes,No Sugar,No,6,Night,No
Lucknow,Uttar Pradesh,18-25,Other,Instant,1,Bru,Home,1524,Socializing,No,No Sugar,Yes,3,Evening,Yes
Bangalore,Karnataka,36-50,Male,Brewed,4,Others,Home,3341,Socializing,Yes,Medium Sugar,Yes,3,Afternoon,No
Jaipur,Rajasthan,36-50,Female,Brewed,3,Nestlé,Office,3123,Habit,Yes,No Sugar,No,5,Afternoon,Yes
Kolkata,West Bengal,50+,Female,Instant,3,Starbucks,Café,913,Socializing,Yes,Medium Sugar,No,1,Night,Yes
Lucknow,Uttar Pradesh,50+,Male,Cold Coffee,3,Starbucks,Home,4334,Energy,Yes,Medium Sugar,Yes,5,Night,Yes
Pune,Maharashtra,36-50,Female,Instant,3,Nestlé,Home,4468,Habit,No,Medium Sugar,No,4,Morning,Yes
Delhi,Delhi,26-35,Female,Filter Coffee,2,Others,Office,1443,Socializing,Yes,No Sugar,Yes,5,Evening,Yes
Lucknow,Uttar Pradesh,36-50,Female,Instant,2,Starbucks,Café,655,Socializing,Yes,Less Sugar,Yes,4,Night,Yes
Bangalore,Karnataka,36-50,Female,Espresso,1,Local Brand,Home,2158,Energy,Yes,High Sugar,No,0,Night,No
Ahmedabad,Gujarat,18-25,Female,Espresso,3,Bru,Office,2196,Socializing,Yes,High Sugar,Yes,3,Afternoon,No
Mumbai,Maharashtra,50+,Female,Cold Coffee,1,Local Brand,Café,1414,Socializing,No,High Sugar,Yes,3,Evening,No
Lucknow,Uttar Pradesh,26-35,Female,Espresso,1,Bru,Café,1023,Habit,No,High Sugar,Yes,0,Evening,No
